Barcode,Product Name,Purchased Price,Qty Available,Price
8850006325216,COLGATE TP GREAT REGULAR 6/22G TWIN PACK,8.3,12.0,12.0
4806502350300,JADE BT VALUE 2PLY 280 SHEETS ,8.45,3.0,12.0
4800888136671,SURF CUT BAR FC BLOSSOM FRESH 120G,11.2,3.0,15.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
8998866809528,WINGS SOLVE CUT BAR SUPER BLUE 130G,10.3,3.0,13.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4800194112383,OISHI SUNDAYS ORANGE 10/35G,18.4,20.0,23.0
4902430790253,JOY DISH LIQUID LEMONI 6+1F/18.5ML,5.6,12.0,10.0
4800016557217,NISSIN CUP NOODLES SOTANGHON CHICKEN,,,
4800016552113,NISSIN CUP NOODLES SEAFOOD,,,
4800036797976,ATAMI SARDINES 155G HOT,,,
4806503248026,YOUNGSTOWN GREEN,,,
4800527629083,YOUNGSTOWN GREEN,,,
4800016652035,MR CHIPS NACHO CHIZ 26G,,,
4800016642029,CHIPPY RED 25G ,,,
4800016641008,CHIPPY BLUE 27G ,,,
4800092771187,FUNKY CRISSCUT CHEESY FLAVOR,,,
4800092771446,FUNKY CRISSCUT SPAGHETTI FLAVOR,,,
4800216121911,CHEEZY CORN CRUNCH,,,
4800194104869,PATATA,,,
4806521790750,TATTOOS,,,
4806505854416,CHICK BOY TEXAS SMOKED BBQ,,,
4800092553011,REB. DOOWEE DONUTS STRAWBERRY 10/40G,,,
4800010075861,PRESTO CHOCO VANILLA 10/30G,,,
8992760121014,OREO ORIGINAL,,,
4800092551369,REB. FUDGEE BARR VANILLA 10,,,
4800092113260,REB. STRAWBERRY SANDWICH,,,
4800092113246,REB. CREAM SANDWICH,,,
4800361403764,NESCAFE COFFEE ORIG SINGLE,,,
4800016022449,GREAT TASTE COFFEE BROWN BARAKO SINGLE,,,
4800016021039,GREAT TASTE COFFEE WHITE SINGLE,,,
8998666001702,KOPIKO BLACK 3 IN 1 TWIN PACK,,,
8996001410226,KOPIKO BLACK 3 IN 1 SINGLE PACK,,,
4800017927408,RAM SALTED BLACK BEANS 100G,,,
4801958391105,AJI CRISPY FRY SPICY BREADING MIX 62G,,,
8996001440049,ENERGEN CHOCO CEREAL 10/40G,,,
7622210892126,EDEN CHEESE SULIT PACK,,,
4987176078209,DOWNY FRENCH LAVENDER,,,
4800888147288,CLOSE UP TP RED HOT,,,
8998866619967,WINGS SOLVE POWDER SUNSHINE 6/65G,,,
4800888187840,BREEZE ECO CLEAN TECHNOLOGY POWDER (2 LABAHAN),,,
8934868155584,BREEZE LIQUID DETERGENT ANTIBACTERIAL (TWIN),,,
4806501709352,CALLA ROSE GARDEN SINGLE,,,
4806501709109,CALLA FLORAL FRESH SINGLE,,,
4806501705200,CHAMPION SUPRA POWER,,,
4800045310050,PRIDE ANTI BACTERIAL POWDER,,,
4800045360017,PRIDE CALAMANSI JASMINE POWDER,,,
8934868115915,SURF FABRIC CONDITIONER LUXE PERFUME,,,
8934868115908,SURF FABRIC CONDITIONER BLOSSOM FRESH,,,
8934868139362,SURF FABRIC CONDITIONER CHARCOAL FRESH,,,
8934868139393,SURF FABRIC CONDITIONER ANTI BACTERIAL,,,
8934868094982,SURF FABRIC CONDITIONER FRENCH PERFUME,,,
4800011782737,BIODERM BATH SOAP FRESHEN 60G,,,
4902430495066,SAFEGUARD BATH SOAP WHITE 25G,,,
4902430698078,REJOICE 3 IN 1 ,,,
8850006536063,GUARD SHAMPOO REFRESHING MENTHOL,,,
8850006933060,GUARD SHAMPOO ANTI HAIRFALL,,,
4800888212900,DOVE SHAMPOO CERAMIDE INTENSE REPAIR,,,
4800047840548,ZONROX FLORAL 100ML,,,
4800047840296,ZONROX LEMON 100ML,,,
4800047840043,ZONROX ORIGINAL 100ML,,,
4800047840234,ZONROX FRESH 100ML,,,
4800047841781,ZONROX COLOR SAFE 95ML,,,
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4806502350010,SANICARE COTTON BUDS,,,
6930996000132,MEDICARE BAND AIDE,,,
4800067126899,CLEENE ETHYL ALCOHOL,,,
4800047820250,GREENCROSS ISOPROPHYL 60ML,,,
4987176022844,WHISPER SUPER CLEAN AND DRY,,,
4800045330072,PRIDE BAR POWER WHITENER,,,
4800045380909,PRIDE BAR POWER SAKURA BLOSSOM,,,
4800045330058,PRIDE BAR POWER CALAMSI JASMINE,,,
4902430178228,PERLA ORIGINAL BLUE,,,
123123,Test,1.0,10,1.0
123123123,test,1.0,0.0,1.0
123000123,test123,1.0,29.0,1.0
1230000123,ttttest,1.0,0.0,1.0
